message,sentiment
"05:37: ""If Today Was Your Last Day"" von Nickelback",neutral
"Interessant dabei: Eine konkrete Person meint Cyrus offenbar nicht. Vielmehr scheint sie davon auszugehen, dass... http://t.co/60iohvjfrc",neutral
Willkür öffentlich machen: Mollath will Psychiatrie-Patienten helfen http://t.co/ai0MVw0L0R #Panorama,neutral
Time to sleep... guten nacht...,positive
@leslesss Heck yeah.. Buuffoonnn doin well. Forza Azzuri!,positive
@Gronkh Siehst heute echt gut aus! Haste abgenommen? #Elektrotitte,neutral
Onlinegame gratis Battlestar Galactica Space-Game http://t.co/roEQsFxmua einfach ausprobieren #Weltraum Battlestar Galactica,neutral
"Wetter: Häufig sonnig, vereinzelt Schauer http://t.co/pB4dQWUsrl",neutral
.@KURIERat: Serie: Was braucht Österreich? Aufträge an die Politik. http://t.co/bicX3xMFfZ #nrw13 Und brauchen auch irgendwelche Frauen was?,neutral
@ChristianNbg @_klingebiel Kaputt nicht unbedingt. Aber man sollte eine Kaffeemaschine auch richtig benutzen :D,neutral
Facebook macht unglücklich. Könnt ihr das bestätigen? :) #SocialMedia http://t.co/GcJb8VqQ5V via @meedia,positive
Musikalische Sonne zum Wasserfest: „I Come From The Sun“ gewinnen Bandcontest http://t.co/b8nfLEt7Gp #leipzig #liz,neutral
Nein: unterirdisch! RT @ernke: Politisch bleibt also in Lübeck alles anders …,negative
Melde mich dann morgen wieder. Geht früh los. Gute Nacht. :),positive
"Ahhhh @1LIVE, bitte spielt ihn nochmal ok? Danke :) #imascheregen #hinterland",positive
"RT @RalphVoss: Wir Füchse stehen ja auf Listen. Danke, @Zora_Red !",neutral
"Guten Morgen! Draußen schon November-Licht. Da mag man gar nicht glauben, was gestern für schönes Wetter war...",neutral
"@schafzwitschern danke, nicht nötig, habe genug Fachliteratur hier.",neutral
RT @SuNoguchi: Schrott Ankauf Lahib ( http://t.co/lrguFNkX ) macht das Unmögliche möglich ;),positive
JETZT BUCHEN - Kochkurs Indische Küche am Mi. 18.09.13... http://t.co/mCGU54TYQz,neutral
Schon lange nicht mehr so intensiv geträumt und so lange geschlafen 😳,positive
@DerUebersteiger Ho- Ho- Hochverrat!,negative
Gesehen...... http://t.co/elMi45JSX0,neutral
Eagles-Damen gegen Würzburg erfolgreich http://t.co/OWDp1HOk93 #leipzig #news,neutral
"Macbook Air braucht sehr lange, um aus dem Sleep wieder aufzuwachen. Jemand Tipps?",neutral
"RT @tosepower: Alemania: Neuer, Lahm, Mertesacker, Boateng, Schmelzer, KHEDIRA, Kroos, Müller, Özil, Draxler, Klose.",neutral
RT @FabsMac: Wie. Kann. Man. Keine. Ewoks. Mögen.,neutral
@air_dal @mmarsching Auswirkungen des #om13gate? Verstärkung vom Feminazgul-Flügel? SCNR,neutral
Topfavorit Gatlin gewinnt 100 m: US-Star Justin Gatlin triumphierte in Linz – und wird auch nächstes Jahr wied... http://t.co/Xs3VTG2xKF,neutral
"@Raptilicus @DerTimsen @Die4Ever__De @wewius Wohl wahr, aber auch unvermeidlich.",neutral
"@ChrisPakusch Sportlich, sportlich! Gönn dir zwischen deinen ganzen Terminen auch eine Pause",positive
Gabriel: Kinder sollen Hausaufgaben ohne Hilfe erledigen,neutral
Aktionsplan: Regierung beschließt Hilfe für Menschen mit seltenen Krankheiten http://t.co/oJ3qy6dLh5 via @SPIEGELONLINE #gesundheit,neutral
Le Gourmand Vintage: 225 Liter: Handverlesene Winzer präsentieren ihre aktuellsten Tropfen http://t.co/EDuuiTtIGM,neutral
die kleine hörgalerie has phone number +49 7721 9167016. Call now or check http://t.co/xyIdN8N6kT #KLEINE #VILLINGENSCHWENNINGEN,neutral
"“@sanitario_: Ich bin so Scheiße drauf, #ich #könnte #glatt #anfangen, #hashtags #zu #nutzen!” Dito!",negative
@linux_frickler das is auch ganz ok (mag das blaubeer lieber) aber echt teuer,neutral
@recomedic Lieber Gruß an unsere Freunde in Polen aus dem Norden #Deutschland #Ostholstein,positive
@ShaSo1305 komm shaso nicht aufgeben ;-) vlt ists n bug. Versuchs einfach so um 17-18 nochmal :-) immer positiv denken :-),positive
#seitensprung Liebesbriefe: Fremdgehen und Freunde bleiben - Berliner Morgenpost: Berichte ueber Seitensprung ... http://t.co/Dj03vEHf4e,neutral
"Babybedarf: ""#8: Playshoes 507136 - Ärmel-Lätzchen lang Arm, Giraffe"" http://t.co/ZHzGwn56N4 #Baby #Süß #Bedarf #Kleink...",neutral
Da is aber jemand sehr zuversichtlich dass seine Mühle nicht geklaut wird... http://t.co/LNNAzyi8cU,neutral
Erstellung dynamischer Weltkarten: jQuery-Mapael http://t.co/jklikC1KrD,neutral
"@jens Richtig, grundsätzlich Hamburg. Kein Plan, ob Autor im Hamburger oder Berliner Büro sitzt. Am Ende schreiben immer Touristen...",neutral
Unsicher? Ich? Da Lache ich doch. HA!,negative
@Ina_Steinbach @SPIEGELONLINE eben!,neutral
#innovation #BORT Zweizug Knöchelstütze medium blau http://t.co/RmxuhtYuEh,neutral
@migius Sieht doch sehr danach aus! Welcome back.,neutral
"VideoBustour ""Filmstadt Potsdam – Das rollende Kino"" ab 3. November jeden ersten Sonntag im Monat http://t.co/iSVohDoLhH",neutral
"@stoff_hoff_show Ich muss mir eigentlich nur merken, ob der die Nadelposition 0.5 oder 0.8 ist… Sollte eigentlich möglich sein :-)",positive
Offene Kamine Design: Tipps für ein gutes Geschäft Herd mit Hilfe von Auction Web-Sites bekommen http://t.co/xvrJntfn9I,neutral
Miss my nicht,neutral
"Witzig! Unbedingt auch dem Link folgen: ""Everyone Hates Your Out-of-Office Reply"" @99U http://t.co/6qjLvYZctW",neutral
"[News] KILLER BE KILLED: neue Band um Musiker von SOULFLY, MASTODON THE DILLINGER ESCAPE PLAN http://t.co/1nizE08Qqf #vampster #metal",neutral
"@davidneuber Dein Folgen freut und ehrt mich. Muss nur gestehen, dass bei meinem ""Hurra""-Tweet etwas an Ironie mitgeschwungen hat ;) LGC :)",positive
@JonasBe1 IKEA = Idioten Kaufen Einfach Alles :'D #Peace #NoHate hahah,positive
adesso: Deutlicher Ergebnissprung http://t.co/Yn6GFkUk6S 4INVESTORS #Börse,neutral
@elisehippie nachooooooos!,positive
phil verstellt sich für seine freundin. kann ihn nich mehr ernstnehmen.,negative
@1886_GC 2-0 Toko :) war eine ganz starke Vorstellung!!! #Danke #GCZ,positive
Experte befürchtet höhere Benzinpreise wegen Meldestelle http://t.co/yPlvFOTnCJ,neutral
Morgen in den ersten beiden #Sport. danach schön ne #Doppelstunde #Mathe hinterher. bis einschl. 8. Std Unterricht #könntkotzen,negative
@whatthehelen3 im speechless,neutral
"RT @Sex_Kontakt: #Black_Cat: Hey Du, was machst du so? komm in den kostenlosen Sex Chat http://t.co/4YbH8bxRLX @sex_kontakt",neutral
Aargau: Ausländische Diebe sehr aktiv http://t.co/oZhAoNSBd8,neutral
"Das Meisenknödel auf Englisch also einfach ""Fat Balls"" heißen, wusste ich nicht. Wieder was gelernt.",neutral
"RT @Tickets_Wien: Selena Gomez Dienstag, 17.09.2013, 19:30 Wiener Stadthalle / Halle F, Wien, Österreich Tic #Events http://t.co/sSecfRfjhA",neutral
@Sturm_Fan. Duuuuu bist einfach waaaaahnsing toll &lt;3 :-*,positive
@asp_net viel schlimmer #logik #verlage,negative
Immer schön langsam fahren http://t.co/lH96nzL6Ql #cdu #erftstadt #verkehr,neutral
Alle #Sexcam #Girls können kostenlos ausprobiert werden. Wir schenken dir unverbindlich #gratis #Coins http://t.co/SpVabSn4aQ,neutral
ich platze. das essen war so geil,positive
heute war echt schön :) super nette Menschen getroffen :) tzonlive danke für das Foto :) #videoday… http://t.co/vgDv6vAxNZ,positive
@inooreicheru 🐴ソ,positive
Arzneimittel im Alter: Medikamente können krank machen http://t.co/4kGpjBeSvF,neutral
"Selten benutztes Nexus 7 (2012), Bluetooth-Tastatur + Case inkl.: Berlin | Verkaufe selten benutztes, fast neu... http://t.co/kkhM4wy7en",neutral
FortiFX Fit Crunch Peanut Butter Protein Bar Review http://t.co/1ImDMdfvNl,neutral
"@Duesenberg_ geil, abends Äpfel essen, morgens besoffen \o/",positive
"RT @MatthiasSachau: Irgend ein hoffnungsvoller Ost-Kabarettist hier, der noch einen Bühnennamen sucht? Kevin Ostner. Bitte, gerne.",neutral
RT @HerthaBSC: 1:0 für Hertha BSC gegen Eintracht Frankfurt! #TOOR,neutral
Miami Vice mit Don Johnson war früher viel cooler.,negative
Basketball: Phoenix Hagen nimmt den US-amerikanischen Big Man Keith Ramsey (25) unter Vertrag. http://t.co/m7i0dPy3Gn @SportandoBasket,neutral
(Der Apostroph schwebt dort in voller Absicht.),negative
@carinaschrenk boah bitte Mach nd so den kindergarten sag doch einfach das I gemeint war und verkauf mi nd fûr dumm.,negative
Nase sitzt zu. Muss aufs Klo. Hasse es.,negative
Bei Bestätigung des Insolvenzplans sind unbekannte Forderungen nicht ausgeschlossen – Insolvenzrecht http://t.co/MRgsnhYyrG,neutral
MELDUNGEN: Shortlist für den Deutschen Buchpreis 2013: Gerade frisch reingekommen: eine Meldung über die sechs... http://t.co/1Uryp3JWZD,neutral
Einen schönen guten Morgen aus der Redaktion und einen angenehmen Start in den Tag http://t.co/UpThoK5Dc3,neutral
Wieland-Haustechnik verstärkt Außendienst http://t.co/qFET7MPlhh,neutral
Endlich macht der Wahlkampf wieder Spaß! #fdp- #cdu+ #allervollstesvertrauen #psycho @ZDF,positive
Weltbild zerstört: Tageziel erreicht! RT @Miepception: Mein ganzes Weltbild ist jetzt im Arsch.,negative
"@herrbench Lustig. Da hatten wir noch keine Plakate gedruckt. Du meinst wohl die Werbeuhr?! Gut so, dass er sich da präsentiert. #Pätzold",neutral
2. Bundesliga - Hertha mit „viel Schwung“ zum Start-Lasogga fehlt http://t.co/uTUDFQPxF6,neutral
"@Piratenpartei ALLE Macht geht vom Volke aus! Stoppt den #Faschismus, macht nicht noch mit.",neutral
"Schaut so aus, als ob der Sommer vorbei ist. In diesem Sinne, auf a gute Riversurfherbstsaison ;)... http://t.co/4NIs2t0tUp",positive
"Joa, hab ich mich halt voll auf die Fresse gelegt. -.-"" und jetzt tut mein Knöchel mordsweh :-----)",negative
@Kartoffelmonsta warum kommen keine Videos mehr? :'(,negative
Mesut Özil und Sami Khedira dürfen Real Madrid verlassen – noch heute - http://t.co/g1aSOFjFUR http://t.co/wKeIqjNKr7,neutral
"RT @deadmanfunk: Jedes Mal, wenn ich exotische Tiere oder Drogen oder Waffen bestelle, die gleiche Misere. Ich muss zum Hauptzollamt.",negative
"@wiesonett Wie immer werden es die #aufschrei-, #om13gate-, #maskugate- und #maskuleaks-Tanten abstreiten. Ich lache mich immer noch tot. :)",positive
Sind pünktlich kurz nach Mondaufgang wachgeworden. Eine wunderschöne sternenklare Nacht - Faszinierende Fotos vom Mond gemacht🌘,positive
"Kreditaktion - Kredit auch bei Schufa-Problemen: Aktion mit schneller, seriöser Abwicklung http://t.co/n3VQNt5ZTF",neutral
"@yuht2go meiner nicht.. -.- Warte noch darauf, dass meine Tutorien ausgelost werden und die Chancen werden immer schlechter.. -.-",negative
Flauschigen Bademantel zu Ihrer Bestellung gratis dazu http://t.co/phsTipGmxE #Geschenk,neutral
Habe keine Ahnung - Mutti wirds schon richten! deshalb #CDU- #FDP- #SPD- #GRÜNE- uns natürlich #AfD+ für ein... http://t.co/8iSdSIVyYo,neutral
Fußball 3. Liga: Stuttgarter Kickers: Buchwald bestätigt Rücktritt http://t.co/EFOTyaU6BB,neutral
Schönes VERSACE Gladiatoren-Kleid aus der Frühlins-/Sommerkollektion 2012 aus Neoprene und Leder mit http://t.co/9eAGkBZMaZ,neutral
Calvin Klein Men's X Extreme Slim Fit Multi http://t.co/Rjh418pGtF #Calvin #Extreme #Klein #Men's #Multi #Slim,neutral
1. Bundesliga (20:10) - Schade: ''Würden Wiederholungsspiel akzeptieren'': Bayer Leverkusen wird sich am Monta... http://t.co/b5ROhQ2IK3,neutral
"übrigens sind das im neuen nintendo 2ds keine zwei separaten bildschirme, sondern nur ein(!) großer... http://t.co/E4WMMrwLqq",neutral
Hohe Margen bei Medikamenten http://t.co/yKpKaTtCXe,neutral
Nein! Das war noch nicht genug Halloween Soundtrack! Timeless feat. Johnny Pepp mit “Halloween“. http://t.co/JUUksialpn,neutral
Dienstag nach 18 Uhr in Handwerkersprech bedeutet also überübernächsten Dienstag vor 9 Uhr.,neutral
"@Mr_Lovecraft Angeschossen? Alter Falter, schwache Leistung :( @klauskrefeld",negative
Endlich: Evolutionstheorie widerlegt! http://t.co/9wJTO5QriZ,neutral
"Hey Derek, sprechen sie dick",neutral
(Das erste war ich und das zweite mein Vater.),neutral
"Quote? Wieso nicht Fähigkeiten? Was bringt eine Erfüllung der Quote mit ""schlechter Arbeit""? #Piraten",neutral
Soo. Die #22UhrNonMention 's dürfen nun beginnen...meins war schon. Zu früh. Besser als gar nich.,negative
@macdatti dasisaberschade,negative
@BerlinBritta @HBisdorf ich glaub's nicht - I'm going down läuft im Hintergrund. Die Götter sind mir gnädig gestimmt :-)),positive
"RT @justizskandale: ZEIT: ""Ist Gustl #Mollath gesund, Herr #Strate?"" Gegenfrage: ""Sind Sie gesund, Frau Rückert, Herr Wefing?"" http://t.co/…",neutral
"Über 1.000 MP3- #Alben für je 3,99 EUR bei Amazon | http://t.co/bWdy6dJjhU",neutral
"Der #Griesebertschaeler muss mal wieder Luft durch die Ohren ziehen lassen, los Hopp aufs Balkönchen alter Mann",neutral
Reichen oder besser LÜCKENFÜLLTWEET I'm at Raststätte Miese Briese hab Bock auf McNuggets Edge.,neutral
@iRuttzman @iRuttzman Tiger Woods niece...,positive
@popela_ also das geht gar nich sowas. Bei ihrem Chef müsste man sich beschweren. Die Frau soll ihr was beibringen u is so drauf.,negative
@ElorieLindir @19kittycat79 Warte ab. ... YT macht keine Gefangenen. ;),positive
"*** BILDplus Inhalt *** Fälle, Urteile &amp; Erfolge - Die härtesten Richter Deutschlands! http://t.co/KepEuaHOA4 #news",neutral
"BenQ G2222HDL TFT Flachbildschirm 21,5 Zoll: Startseite | Hallo habe hier einen sehr guten TFT LED Flachbildsc... http://t.co/Oe0etpyoUO",neutral
@himonew Amine weiße was bitte denk einfach einmal pervers,neutral
@bladiblub besser wirds dadurch leider auch nicht ;-),neutral
"New post: KS: Baunatal: Geldwechseltrick: Geschickter Dieb klaute unbemerkt 250,- Euro aus Portmonee http://t.co/f3FusfF0YB",neutral
Sarung laptop pon blh sue..haha,positive
Schweizer Mr. Bean: Tollpatschiger Journalist zerstört wertvolles Kunstwerk http://t.co/Ai5bozi0im,neutral
RT @franzalt: “Charta zur sozial gerechten Energiewende” vorgestellt http://t.co/6v6J9qChdg,neutral
@PloedeQ: Sie wird wohl Dreck am stecken haben.. #merkelphone http://t.co/6I2ubamlWJ True!,negative
#love #fun #kiss #Blümchen #winter #kalt #pink #weiß #blau #bla #bli #blub #blub #ich lass #mich #fallen #lächeln... http://t.co/sH8QrC9UCu,neutral
Ich würde mir selbst nicht schreiben.,negative
Gute Besserung @Thi_Alcantara91 - get well soon! #FCB,positive
Wasserschlacht von Gladbach heute? #skybuli #bmgsge,neutral
@mc_flausch hehehe ;) was macht die Ikea Bastelei?,positive
@ofmiceandleaa woahaaa geil lea :) das muss echt ein geiles Gefühl sein. Krass. Glückwunsch :'),positive
"#Porsche, #911, #997 :Windschott gebrochen http://t.co/KlGkGV9BXd",neutral
@oberbitch schlaf jut Alte.,neutral
Guten morgen ... Freu mich auf Samstag und bin gespannt was ihr zu TRX sagt...,positive
@KurtKrauss @michelle_motuz 😦,negative
Ehemann Nummer zwei: Was sagt Kris Humphries zu Kims Verlobung? #KimKardashian #KanyeWest #KrisHumphries http://t.co/J4JG90Cqjs,neutral
Photo: Neue Westfälische (Bielefeld): Käßmann: Luther hinterließ ein schweres Erbe Neue Westfälische... http://t.co/Weg9c08xbI,neutral
tot: meine Aussichten. Endet es.,negative
"@TheKedosZone Und, auch wenns sich komisch anhört, blaue Dinge angucken. Die Farbe entspannt das Auge. :)",positive
Studie: Kita macht Erzieherinnen krank - RP ONLINE: RP ONLINEStudie: Kita macht Erzieherinnen krankRP ONLINENo... http://t.co/UEd5oCZoNh,neutral
Anlage voll aufdrehn bis meine Mutter wütend ins Zimmer reinplatzt! #läuft,neutral
"@G_Joshhh Fuckin brilliant Einstein,,",neutral
@Illuminatus23 @Doktor_FreakOut @mundauf lieber Staatskasse. Weiterhin Abschaffung der Beitragsbemessungsgrenze.,neutral
Weltbild holt Umbau-Experten an Bord: Josef Schultheis wird Geschäftsführer Restrukturierung http://t.co/S7PfHapsD0,neutral
"Hör mal, wer da hämmert - Bote vom Haßgau http://t.co/A3zJD7MCzr",neutral
"@iZerf im Herbst stellt man die Uhr zurück. ""Im Frühling stelle ich die Gartenmöbel VOR das Haazs im Herbst ZURÜCK"" :-)",neutral
@EddyElfenbein SOLD!!,neutral
Liebe @Swisscom_Care sprengt ein fussballspiel via tv air übers handy ohne wlan die rechnung? Hab noch 16 MB Restdatavolumen,neutral
Ach verdammt. Nich groß genug! -.- (@YouTube http://t.co/byZFucfphC),negative
"Aha, wer bis 15 nicht lesen kann, soll das also bis 18 können... Schrecklich, diese Hilflosigkeit....#övp",negative
"@SimplyMfJanay__: @__ChelleChelle: . If I Ever Die These Hoes Gone Be Happy Asf.!""""",negative
"@iwona_w @Vliconaleash Alkohol siedet bei 78C, das macht also keinen Unterschied.",neutral
Good morning Nice! #cotedazur @ Bambou Plage http://t.co/I31P6EoCGS,positive
"@ValentinMoeller @felixba Fast genauso gut, nur moderner. ^^",positive
"Zwar in Frechen, aber günstig und hübsch http://t.co/UJy00RGDYn",positive
#Voerde #Möllen Frankfurterstr Ende #STEAG seit Montag per Ampel Einspurig. http://t.co/QxBF4AgYnG,neutral
@wittynarry Außerdem zeigt Wattpad all meinen Facebook Freunden nun an wenn ich für eine Story vote. Das war vorher auch nicht. -.-,negative
"@Flubbermaus ach, hände brauch keiner",negative
"Exklusiv: Der klassische Kinotrailer zu Alfonso Cuarons ""Gravity"" geht unter die Haut - nur bei uns mit deutschen... http://t.co/yrrHL7ag9F",neutral
"@medienspiegler jetzt wollen wir natürlich alle wissen, warum ausgerechnet Rösti auf dem Monte Generoso?",neutral
"Ok, streicht das Mist.",negative
New post: IZ: Kellinghusen: Einbruch ins Freibad - Drei Personen festgenommen http://t.co/CkCPNCekLg,neutral
@Beratercoach Dankeschön. @PriCoBe @HeikeSchauz @MaxundMichaKrim @AdOrgaSolutions @HilfeAbzocke @handwerkernet @denkmolekuele #ff Grüße,neutral
RT @1awww: gebrauchte Domain http://t.co/SJTGOdtAzj einfach Gebot abgeben und Domain sichern,neutral
"@Krdlfitz @NielsRuf @Gaston_006 @Afelia So füllen, wie es hilft seiner Furcht oder Neugier zu zügeln. Nur eben keine Religion daraus machen",neutral
@Paxter_Redwyne Neoliberales Geschwätz.,neutral
Weil's grad zu den OZ-Wahlen passt. Gillard liest dem (wahrscheinlich) neuen Premier die Leviten: http://t.co/kRZNkJCbeD #Aufschrei,neutral
Stephen Sauer zum neuen Finanzreferenten gewählt #jusolakosaar13 Herzlichen Glückwunsch!,neutral
@EinNudelauflauf Felsen sind nicht fest. Such dir was festeres.,neutral
"Finanzbürgermeister Peter Kleine verteidigt Plan, beitragsfr. Kita-Jahr zu streichen. Elternbeiträge sollen 2014 konstant bl. #StadtratWE",neutral
Die Teilnehmer gehen unter lautstarken Protest zum Bahnhof zurück #badnenndorf,neutral
@SallyLolly13 @meloona1 Ihr seht beide toll aus und jetzt stfu,positive
@avonstears oder spaeter. Will nur kurz was holen und will dic sehen lololol,positive
Honduras: Internationale Menschenrechtsbeobachter entführt http://t.co/9dG5UBIGuR,neutral
20131024 Französische Telefongespräche aufgezeichnet: NSA spioniert millionenfach französische Bürger aus Nicht...,neutral
@obscurefuture vogue&lt;333 schenk mir alle hahaa hab gar keine,positive
@Danny_W_2012 du könntest meine Fenster putzen *lieb guck*,positive
RT @a_watch: CDU erhält erneut Großspende aus #BMW-Umfeld / Audi stoppte Spendenpraxis schon vor Jahren http://t.co/LH3MoJglcT,neutral
Diese vorfreude vor dem Date :),positive
@marfli71 ...bin selber schlecht ..wäre doof...:-),negative
HR:  +++ Flum freut sich über Konkurrenz +++ Eintracht Frankfurts Johannes Flum hadert nach der knappen... http://t.co/uIXpCqiE5d,neutral
Papenburger Firma entwickelt umweltfreundliche Technologien http://t.co/u6F3uvOYhn,neutral
"@Viertelgrieche Ich würde permanent in der Wanne liegen, ne.",neutral
"Was würdet ihr einer angehenden Studentin mit Budget bis max 650 € empfehlen? Ultrabook, Netbook oder Notebook?",neutral
POL-DA: Aufmerksame Nachbarn löschen Küchenbrand http://t.co/zJwYSPJPt9,neutral
"#opblitzkrieg kalte Ehe, warme Affäre, Herz spricht plötzlich http://t.co/A0P8CMxlv2",neutral
Advocaat trainiert AZ Alkmaar: Dick Advocaat wird neuer Trainer des niederländischen Erstligisten AZ Alkmaar. ... http://t.co/wuwpULWBGR,neutral
"Soooo, gute Nacht, Tatorties - hoffe Ihr findet uns auch Blau statt Rot weiterhin in Eurer Timeline. :-)",positive
Gefährlicher Weltraumschrott könnte künftig mit einem leistungsstarken Laser von der Erde aus u... http://t.co/vVuNzuzBrV #imwesten #WAZ,neutral
@Lucrecia84 Echt nicht? o___o,negative
Freiheit statt Angst: Demos gegen Ausspähung http://t.co/CZ0yZ1HTMC,neutral
"Obwohl weiterhin weniger #Velo gefahren wird (Beliebtheit sinkt), werden Unsummen reigepumpt. Darum also #Vignette! http://t.co/QLVJlm3jWw",neutral
"@BenniferRostock pure gänsehaut, dicken dicken respekt!!! Danke!",positive
"Wenn ich den Namen Shepherd höre, muss ich einfach sofort an McDreamy denken. :'D #GA",positive
